City,Area,Robos,Robos Violentos,Robo con violencia,Robo con intimidación,Robo por sorpresa,Robos con Fuerza,Robo de Vehículo Motorizado,Robo de Accesorio de Vehículo,Robo en Lugar Habitado,Robo en Lugar No Habitado,Otros Robos con Fuerza,Homicidios,Violaciones,Lesiones,Hurtos
ARAUCO,Cuadrante 1,112,24,6,9,9,88,0,12,37,38,1,0,0,22,79
ARAUCO,Cuadrante 2,77,5,0,4,1,72,0,6,36,27,3,0,2,27,39
ARAUCO,Cuadrante 3,22,4,2,1,1,18,0,0,7,11,0,0,1,32,22
ARAUCO,Cuadrante 4,27,3,0,3,0,24,2,0,3,19,0,0,2,18,18
CABRERO,Cuadrante 1,75,10,2,5,3,65,6,29,4,25,1,0,0,17,43
CABRERO,Cuadrante 2,40,4,2,0,2,36,3,8,6,16,3,0,3,27,12
CABRERO,Cuadrante 3,21,2,2,0,0,19,2,4,5,8,0,0,1,22,18
CAÑETE,Cuadrante 1,138,41,7,15,19,97,15,17,23,32,10,0,4,82,94
CAÑETE,Cuadrante 2,62,17,3,9,5,45,7,0,24,14,0,0,0,36,33
CHIGUAYANTE,Cuadrante 6,176,43,10,21,12,133,7,30,62,24,10,0,3,40,72
CHIGUAYANTE,Cuadrante 7,319,101,37,42,22,218,41,44,64,42,27,4,3,173,226
CONCEPCIÓN,Cuadrante 1,881,334,59,84,191,547,63,169,43,203,69,3,4,255,1384
CONCEPCIÓN,Cuadrante 2,274,75,18,33,24,199,40,80,23,29,27,0,5,92,158
CONCEPCIÓN,Cuadrante 3,228,62,14,25,23,166,31,33,52,38,12,0,3,53,202
CONCEPCIÓN,Cuadrante 4,247,47,19,15,13,200,18,95,21,49,17,0,2,32,167
CONCEPCIÓN,Cuadrante 5,128,37,17,15,5,91,11,23,33,19,5,0,0,35,45
CONCEPCIÓN,Cuadrante 6,294,124,39,48,37,170,45,54,24,30,17,2,2,82,227
CONCEPCIÓN,Cuadrante 7,652,177,57,80,40,475,143,167,50,91,24,0,5,110,147
CONCEPCIÓN,Cuadrante 8,362,106,35,47,24,256,65,76,41,55,19,0,5,75,93
CONCEPCIÓN,Cuadrante 9,220,37,7,16,14,183,19,71,46,34,13,0,0,44,66
CONCEPCIÓN,Cuadrante 10,199,48,18,20,10,151,42,38,35,29,7,0,4,58,67
CORONEL,Cuadrante 2,276,75,25,35,15,201,25,25,90,43,18,1,6,118,100
CORONEL,Cuadrante 3,211,66,17,30,19,145,24,13,49,46,13,1,0,95,87
CORONEL,Cuadrante 4,100,25,11,11,3,75,11,9,10,31,14,0,2,36,24
CORONEL,Cuadrante 1,220,81,32,35,14,139,17,14,32,51,25,3,2,96,84
CORONEL,Cuadrante 5,184,65,22,29,14,119,12,24,52,25,6,4,0,86,30
CORONEL,Cuadrante 6,67,24,7,17,0,43,6,0,16,13,8,0,1,25,18
CURANILAHUE,Cuadrante 1,138,41,14,22,5,97,3,11,27,48,8,0,0,70,76
CURANILAHUE,Cuadrante 2,100,31,6,17,8,69,6,6,32,20,5,2,1,41,38
HUALPÉN,Cuadrante 1,242,84,25,46,13,158,41,26,42,25,24,4,0,136,77
HUALPÉN,Cuadrante 2,348,86,30,38,18,262,57,97,65,33,10,0,4,98,213
HUALPÉN,Cuadrante 3,174,39,11,16,12,135,34,63,12,22,4,0,0,36,194
HUALPÉN,Cuadrante 4,44,13,6,7,0,31,6,13,2,9,1,0,1,12,6
LAJA,Cuadrante 1,192,20,3,10,7,172,3,27,82,54,6,0,0,79,83
LAJA,Cuadrante 2,47,4,3,1,0,43,5,5,18,11,4,0,0,23,22
LEBU,Cuadrante 1,80,11,6,0,5,69,3,8,29,29,0,0,0,98,93
LEBU,Cuadrante 2,49,5,5,0,0,44,2,4,23,10,5,0,1,32,29
LOS ÁLAMOS,Cuadrante 1,47,10,3,5,2,37,2,2,14,19,0,1,0,47,91
LOS ÁLAMOS,Cuadrante 2,34,6,3,0,3,28,1,0,7,20,0,0,0,14,37
LOS ÁLAMOS,Cuadrante 3,10,2,1,0,1,8,0,0,3,5,0,0,0,15,19
LOS ÁNGELES,Cuadrante 1,565,140,28,56,56,425,20,104,49,202,50,1,2,104,882
LOS ÁNGELES,Cuadrante 2,257,52,10,28,14,205,21,42,61,69,12,0,4,34,87
LOS ÁNGELES,Cuadrante 3,332,57,14,12,31,275,15,84,57,109,10,0,0,56,174
LOS ÁNGELES,Cuadrante 4,298,127,24,56,47,171,12,21,70,59,9,5,3,108,114
LOS ÁNGELES,Cuadrante 5,169,62,16,28,18,107,19,20,40,21,7,2,4,63,30
LOS ÁNGELES,Cuadrante 7,127,26,5,7,14,101,10,25,30,33,3,0,1,34,116
LOS ÁNGELES,Cuadrante 6,230,29,10,10,9,201,17,70,71,35,8,0,0,33,97
LOTA,Cuadrante 1,136,30,12,11,7,106,7,14,34,43,8,0,0,75,39
LOTA,Cuadrante 2,170,50,22,16,12,120,14,15,50,32,9,0,0,115,79
MULCHÉN,Cuadrante 1,112,17,4,9,4,95,3,25,27,33,7,0,0,55,65
MULCHÉN,Cuadrante 2,76,15,13,2,0,61,5,8,20,22,6,1,1,29,24
NACIMIENTO,Cuadrante 1,65,14,6,4,4,51,7,2,17,20,5,0,0,58,43
NACIMIENTO,Cuadrante 2,30,13,8,3,2,17,0,3,6,6,2,0,1,13,16
PENCO,Cuadrante 1,203,48,14,23,11,155,43,30,37,33,12,0,4,91,103
PENCO,Cuadrante 2,142,34,12,11,11,108,18,17,40,25,8,0,3,110,32
SAN PEDRO DE LA PAZ,Cuadrante 1,196,107,39,48,20,89,22,11,27,20,9,1,3,93,31
SAN PEDRO DE LA PAZ,Cuadrante 2,142,57,23,22,12,85,13,20,35,8,9,0,1,65,46
SAN PEDRO DE LA PAZ,Cuadrante 3,243,101,28,50,23,142,31,21,42,33,15,3,6,127,86
SAN PEDRO DE LA PAZ,Cuadrante 4,11,7,1,4,2,4,0,0,1,3,0,0,0,0,0
SAN PEDRO DE LA PAZ,Cuadrante 5,87,26,9,15,2,61,6,11,24,12,8,0,1,25,46
SAN PEDRO DE LA PAZ,Cuadrante 6,122,29,11,10,8,93,12,17,28,23,13,0,0,34,26
SAN PEDRO DE LA PAZ,Cuadrante 7,167,47,7,26,14,120,12,34,37,30,7,0,2,18,64
SAN PEDRO DE LA PAZ,Cuadrante 8,126,22,5,13,4,104,8,40,18,36,2,0,0,18,57
TALCAHUANO,Cuadrante 1,296,103,29,44,30,193,27,47,29,64,26,0,0,105,173
TALCAHUANO,Cuadrante 2,159,61,24,32,5,98,23,9,29,25,12,4,5,142,33
TALCAHUANO,Cuadrante 3,210,62,19,26,17,148,22,37,23,58,8,1,6,63,74
TALCAHUANO,Cuadrante 5,140,41,17,17,7,99,20,16,32,23,8,0,1,55,30
TALCAHUANO,Cuadrante 6,217,43,12,23,8,174,20,76,18,49,11,0,1,37,390
TALCAHUANO,Cuadrante 7,103,31,10,13,8,72,18,12,4,20,18,1,0,36,26
TALCAHUANO,Cuadrante 4,161,38,6,21,11,123,27,26,25,35,10,0,2,74,47
TOMÉ,Cuadrante 1,117,33,11,16,6,84,22,11,18,29,4,0,1,88,154
TOMÉ,Cuadrante 2,59,14,8,3,3,45,6,2,17,16,4,0,2,46,34
YUMBEL,Cuadrante 1,53,6,2,2,2,47,3,6,20,14,4,0,0,21,42
YUMBEL,Cuadrante 2,49,2,0,0,2,47,0,2,27,16,2,0,0,12,13
YUMBEL,Cuadrante 3,26,3,0,2,1,23,0,6,8,9,0,2,0,16,13
